num_nodes,round,accuracy
30,1,0.2849
30,2,0.3396
30,3,0.3842
30,4,0.4195
30,5,0.4466
30,6,0.4706
30,7,0.4857
30,8,0.5001
30,9,0.5184
30,10,0.5319
30,11,0.544
30,12,0.5469
30,13,0.5597
30,14,0.565
30,15,0.5793
30,16,0.5844
30,17,0.5939
30,18,0.5992
30,19,0.6041
30,20,0.6141
30,21,0.6178
30,22,0.6249
30,23,0.6302
30,24,0.6376
30,25,0.6419
30,26,0.6482
30,27,0.6509
30,28,0.6584
30,29,0.6619
30,30,0.6671
30,31,0.6678
30,32,0.6748
30,33,0.6754
30,34,0.6778
30,35,0.6811
30,36,0.6854
30,37,0.6864
30,38,0.6905
30,39,0.692
30,40,0.6937
30,41,0.6948
30,42,0.6979
30,43,0.7015
30,44,0.7013
30,45,0.7052
30,46,0.7071
30,47,0.7077
30,48,0.7106
30,49,0.7126
30,50,0.7119
30,51,0.7147
30,52,0.7138
30,53,0.7172
30,54,0.7188
30,55,0.72
30,56,0.7184
30,57,0.7192
30,58,0.7193
30,59,0.7194
30,60,0.7242
30,61,0.7248
30,62,0.7239
30,63,0.7249
30,64,0.7236
30,65,0.7265
30,66,0.727
30,67,0.7252
30,68,0.728
30,69,0.727
30,70,0.727
30,71,0.7258
30,72,0.7285
30,73,0.7276
30,74,0.7268
30,75,0.727
30,76,0.7268
30,77,0.7286
30,78,0.7267
30,79,0.7267
30,80,0.7292
30,81,0.7273
30,82,0.7272
30,83,0.7262
30,84,0.7265
30,85,0.7259
30,86,0.727
30,87,0.7256
30,88,0.7272
30,89,0.7307
30,90,0.724
30,91,0.7269
30,92,0.7281
30,93,0.7286
30,94,0.7277
30,95,0.7293
30,96,0.7283
30,97,0.7287
30,98,0.7297
30,99,0.7273
30,100,0.7282
31,1,0.2634
31,2,0.3247
31,3,0.3726
31,4,0.4134
31,5,0.4547
31,6,0.4744
31,7,0.4921
31,8,0.5129
31,9,0.5212
31,10,0.5322
31,11,0.5422
31,12,0.5502
31,13,0.5609
31,14,0.5696
31,15,0.575
31,16,0.585
31,17,0.5959
31,18,0.601
31,19,0.6058
31,20,0.6149
31,21,0.6208
31,22,0.6253
31,23,0.6322
31,24,0.6338
31,25,0.6414
31,26,0.6498
31,27,0.651
31,28,0.6566
31,29,0.6613
31,30,0.6621
31,31,0.6668
31,32,0.6726
31,33,0.6729
31,34,0.6798
31,35,0.6811
31,36,0.684
31,37,0.6845
31,38,0.6907
31,39,0.6919
31,40,0.6951
31,41,0.6953
31,42,0.6983
31,43,0.6977
31,44,0.6996
31,45,0.705
31,46,0.7065
31,47,0.7077
31,48,0.7082
31,49,0.71
31,50,0.7144
31,51,0.7137
31,52,0.72
31,53,0.7174
31,54,0.7213
31,55,0.717
31,56,0.7225
31,57,0.7215
31,58,0.7229
31,59,0.7224
31,60,0.7245
31,61,0.727
31,62,0.7285
31,63,0.7265
31,64,0.7296
31,65,0.73
31,66,0.7288
31,67,0.7294
31,68,0.7304
31,69,0.7344
31,70,0.7328
31,71,0.735
31,72,0.7348
31,73,0.7358
31,74,0.7363
31,75,0.7356
31,76,0.7406
31,77,0.7358
31,78,0.7375
31,79,0.7367
31,80,0.7353
31,81,0.737
31,82,0.7352
31,83,0.7355
31,84,0.7407
31,85,0.7361
31,86,0.7376
31,87,0.738
31,88,0.7399
31,89,0.736
31,90,0.7412
31,91,0.7405
31,92,0.7383
31,93,0.7383
31,94,0.7385
31,95,0.737
31,96,0.7409
31,97,0.7388
31,98,0.7389
31,99,0.7383
31,100,0.7384
32,1,0.2765
32,2,0.3305
32,3,0.3758
32,4,0.4136
32,5,0.4432
32,6,0.4661
32,7,0.4811
32,8,0.4965
32,9,0.5046
32,10,0.518
32,11,0.5281
32,12,0.5358
32,13,0.5456
32,14,0.5524
32,15,0.5651
32,16,0.5753
32,17,0.5763
32,18,0.5829
32,19,0.5884
32,20,0.5938
32,21,0.6037
32,22,0.6072
32,23,0.6148
32,24,0.6197
32,25,0.6273
32,26,0.6311
32,27,0.6367
32,28,0.642
32,29,0.6465
32,30,0.6475
32,31,0.6531
32,32,0.6557
32,33,0.659
32,34,0.6641
32,35,0.6656
32,36,0.6681
32,37,0.6725
32,38,0.6757
32,39,0.6788
32,40,0.6797
32,41,0.6813
32,42,0.6861
32,43,0.6901
32,44,0.6897
32,45,0.6918
32,46,0.6973
32,47,0.6983
32,48,0.6997
32,49,0.7016
32,50,0.7037
32,51,0.7036
32,52,0.7044
32,53,0.7053
