num_nodes,round,accuracy
70,1,0.1838
70,2,0.2347
70,3,0.2658
70,4,0.3051
70,5,0.3236
70,6,0.3431
70,7,0.3659
70,8,0.3799
70,9,0.3954
70,10,0.4105
70,11,0.4199
70,12,0.4314
70,13,0.4457
70,14,0.4545
70,15,0.468
70,16,0.4791
70,17,0.4891
70,18,0.4962
70,19,0.5006
70,20,0.5085
70,21,0.5128
70,22,0.5155
70,23,0.5209
70,24,0.5265
70,25,0.5296
70,26,0.5361
70,27,0.5396
70,28,0.5441
70,29,0.5478
70,30,0.5516
70,31,0.5542
70,32,0.5584
70,33,0.562
70,34,0.5666
70,35,0.5712
70,36,0.5737
70,37,0.5757
70,38,0.5789
70,39,0.5844
70,40,0.5836
70,41,0.5863
70,42,0.5911
70,43,0.5904
70,44,0.5974
70,45,0.5989
70,46,0.603
70,47,0.6013
70,48,0.6075
70,49,0.608
70,50,0.6105
70,51,0.6151
70,52,0.6169
70,53,0.6178
70,54,0.6182
70,55,0.622
70,56,0.6251
70,57,0.6239
70,58,0.63
70,59,0.6303
70,60,0.6336
70,61,0.635
70,62,0.6393
70,63,0.6394
70,64,0.6415
70,65,0.6469
70,66,0.6463
70,67,0.6497
70,68,0.65
70,69,0.6526
70,70,0.6511
70,71,0.657
70,72,0.6567
70,73,0.6605
70,74,0.6597
70,75,0.6611
70,76,0.6635
70,77,0.6653
70,78,0.6665
70,79,0.6688
70,80,0.6689
70,81,0.669
70,82,0.673
70,83,0.6736
70,84,0.6736
70,85,0.6736
70,86,0.6767
70,87,0.6772
70,88,0.6786
70,89,0.6789
70,90,0.6794
70,91,0.6825
70,92,0.6827
70,93,0.6824
70,94,0.6833
70,95,0.6861
70,96,0.6865
70,97,0.6871
70,98,0.686
70,99,0.6891
70,100,0.6893
71,1,0.2045
71,2,0.2384
71,3,0.2621
71,4,0.3003
71,5,0.3227
71,6,0.3434
71,7,0.3577
71,8,0.3782
71,9,0.3921
71,10,0.4059
71,11,0.4174
71,12,0.4282
71,13,0.4424
71,14,0.452
71,15,0.4625
71,16,0.4685
71,17,0.481
71,18,0.4874
71,19,0.4938
71,20,0.4996
71,21,0.5038
71,22,0.5116
71,23,0.5156
71,24,0.522
71,25,0.5209
71,26,0.5258
71,27,0.531
71,28,0.5326
71,29,0.5399
71,30,0.5436
71,31,0.5463
71,32,0.5481
71,33,0.553
71,34,0.5535
71,35,0.5582
71,36,0.5621
71,37,0.5651
71,38,0.569
71,39,0.5698
71,40,0.5722
71,41,0.5746
71,42,0.5769
71,43,0.5789
71,44,0.584
71,45,0.5846
71,46,0.5858
71,47,0.5922
71,48,0.5968
71,49,0.595
71,50,0.5973
71,51,0.6025
71,52,0.6052
71,53,0.6061
71,54,0.6106
71,55,0.6137
71,56,0.618
71,57,0.6151
71,58,0.6193
71,59,0.6216
71,60,0.6245
71,61,0.6281
71,62,0.6292
71,63,0.628
71,64,0.6338
71,65,0.6343
71,66,0.6363
71,67,0.6367
71,68,0.6393
71,69,0.6412
71,70,0.6419
71,71,0.6445
71,72,0.6462
71,73,0.6482
71,74,0.6522
71,75,0.6531
71,76,0.6513
71,77,0.6549
71,78,0.6547
71,79,0.656
71,80,0.6588
71,81,0.661
71,82,0.6629
71,83,0.6627
71,84,0.6644
71,85,0.6663
71,86,0.6664
71,87,0.6675
71,88,0.6672
71,89,0.6702
71,90,0.6702
71,91,0.6725
71,92,0.674
71,93,0.6753
71,94,0.6753
71,95,0.676
71,96,0.6752
71,97,0.6768
71,98,0.6803
71,99,0.6792
71,100,0.6811
72,1,0.1787
72,2,0.255
72,3,0.2874
72,4,0.324
72,5,0.332
72,6,0.3585
72,7,0.374
72,8,0.3905
72,9,0.4035
72,10,0.4141
72,11,0.4239
72,12,0.4353
72,13,0.4446
72,14,0.4485
72,15,0.4564
72,16,0.4689
72,17,0.4749
72,18,0.4861
72,19,0.4895
72,20,0.492
72,21,0.4924
72,22,0.5
72,23,0.5052
72,24,0.5142
72,25,0.5166
72,26,0.5231
72,27,0.5267
72,28,0.5305
72,29,0.5335
72,30,0.5364
72,31,0.5409
72,32,0.545
72,33,0.5505
72,34,0.5541
72,35,0.5584
72,36,0.5637
72,37,0.5647
72,38,0.5686
72,39,0.57
72,40,0.5765
72,41,0.5796
72,42,0.58
72,43,0.5827
72,44,0.5859
72,45,0.5869
72,46,0.5921
72,47,0.5917
72,48,0.5952
72,49,0.5996
72,50,0.601
72,51,0.6039
72,52,0.6059
72,53,0.6097
72,54,0.6106
72,55,0.6135
72,56,0.6159
72,57,0.6161
72,58,0.6172
72,59,0.6213
72,60,0.6251
72,61,0.6247
72,62,0.6256
72,63,0.6302
72,64,0.6299
72,65,0.6323
72,66,0.6369
72,67,0.6384
72,68,0.6384
72,69,0.6393
72,70,0.6415
72,71,0.6422
72,72,0.6449
72,73,0.645
72,74,0.6476
72,75,0.6493
72,76,0.6493
72,77,0.6499
72,78,0.6549
72,79,0.6535
72,80,0.6554
72,81,0.6567
72,82,0.6561
72,83,0.6589
72,84,0.6629
72,85,0.6615
72,86,0.6623
72,87,0.6647
72,88,0.6657
72,89,0.666
72,90,0.6687
72,91,0.6685
72,92,0.6711
72,93,0.6713
72,94,0.671
72,95,0.6707
72,96,0.6753
72,97,0.6751
72,98,0.6754
72,99,0.6758
72,100,0.6769
73,1,0.161
73,2,0.2624
73,3,0.2825
73,4,0.3031
73,5,0.3226
73,6,0.3421
73,7,0.3593
73,8,0.3778
73,9,0.3917
73,10,0.4044
73,11,0.4185
73,12,0.4308
73,13,0.4423
73,14,0.4546
73,15,0.4648
73,16,0.4715
73,17,0.478
73,18,0.4909
73,19,0.4919
73,20,0.5055
73,21,0.5053
73,22,0.5094
73,23,0.5175
73,24,0.5192
73,25,0.5254
73,26,0.5314
73,27,0.5324
73,28,0.5405
73,29,0.5447
73,30,0.5437
73,31,0.5493
73,32,0.551
73,33,0.5552
73,34,0.5596
73,35,0.5609
73,36,0.5628
73,37,0.5664
73,38,0.5714
73,39,0.5727
73,40,0.5769
73,41,0.5767
73,42,0.5818
73,43,0.5822
73,44,0.5862
73,45,0.5895
73,46,0.5909
73,47,0.5975
73,48,0.597
73,49,0.599
73,50,0.6024
73,51,0.6041
73,52,0.6065
73,53,0.6095
73,54,0.6124
73,55,0.6131
73,56,0.6148
73,57,0.6174
73,58,0.6153
73,59,0.6203
73,60,0.62
73,61,0.6258
73,62,0.6275
73,63,0.6294
73,64,0.6309
73,65,0.6344
73,66,0.6349
73,67,0.6354
73,68,0.6394
73,69,0.6411
73,70,0.6415
73,71,0.6461
73,72,0.646
73,73,0.6484
73,74,0.6486
73,75,0.6502
73,76,0.6511
73,77,0.654
73,78,0.6559
73,79,0.6553
73,80,0.6587
73,81,0.6603
73,82,0.6605
73,83,0.664
73,84,0.6647
73,85,0.6657
73,86,0.6682
73,87,0.6678
73,88,0.6693
73,89,0.6693
73,90,0.6723
73,91,0.6732
73,92,0.6747
73,93,0.6749
73,94,0.6751
73,95,0.6791
73,96,0.6767
73,97,0.68
73,98,0.6802
73,99,0.6821
73,100,0.6819
74,1,0.1755
74,2,0.2433
74,3,0.2639
74,4,0.2902
74,5,0.3183
74,6,0.345
74,7,0.3577
74,8,0.3712
74,9,0.3851
74,10,0.3994
74,11,0.4132
74,12,0.4282
74,13,0.439
74,14,0.4492
74,15,0.4603
74,16,0.4687
74,17,0.4723
74,18,0.4807
74,19,0.4876
74,20,0.4947
74,21,0.499
74,22,0.5087
74,23,0.5087
74,24,0.5127
74,25,0.5182
74,26,0.523
74,27,0.5292
74,28,0.5336
74,29,0.5348
74,30,0.5398
74,31,0.542
74,32,0.5459
74,33,0.5509
74,34,0.553
74,35,0.5584
74,36,0.5609
74,37,0.5606
74,38,0.5691
74,39,0.569
74,40,0.5725
74,41,0.5766
74,42,0.5777
74,43,0.5837
74,44,0.5817
74,45,0.5869
74,46,0.5904
74,47,0.5908
74,48,0.5898
74,49,0.5962
74,50,0.5968
74,51,0.6018
74,52,0.605
74,53,0.6081
74,54,0.6084
74,55,0.6112
74,56,0.6134
74,57,0.6137
74,58,0.6167
74,59,0.6186
74,60,0.621
74,61,0.6222
74,62,0.6247
74,63,0.6264
74,64,0.6291
74,65,0.6315
74,66,0.6341
74,67,0.6346
74,68,0.6364
74,69,0.6368
74,70,0.6402
74,71,0.6405
74,72,0.6426
74,73,0.6474
74,74,0.6455
74,75,0.6506
74,76,0.65
74,77,0.6538
74,78,0.6513
74,79,0.6583
74,80,0.656
