num_nodes,round,accuracy
50,1,0.2069
50,2,0.262
50,3,0.2963
50,4,0.32
50,5,0.3545
50,6,0.3859
50,7,0.4071
50,8,0.4298
50,9,0.452
50,10,0.4599
50,11,0.4712
50,12,0.4882
50,13,0.4937
50,14,0.5071
50,15,0.5102
50,16,0.5192
50,17,0.5246
50,18,0.5286
50,19,0.5351
50,20,0.5408
50,21,0.5483
50,22,0.5493
50,23,0.5571
50,24,0.5615
50,25,0.5677
50,26,0.5694
50,27,0.577
50,28,0.5788
50,29,0.5851
50,30,0.5897
50,31,0.5942
50,32,0.5979
50,33,0.5996
50,34,0.6049
50,35,0.6066
50,36,0.6151
50,37,0.6183
50,38,0.6198
50,39,0.6221
50,40,0.6274
50,41,0.63
50,42,0.6325
50,43,0.6342
50,44,0.6419
50,45,0.6418
50,46,0.6439
50,47,0.6469
50,48,0.6505
50,49,0.6547
50,50,0.6587
50,51,0.6613
50,52,0.6614
50,53,0.6632
50,54,0.6669
50,55,0.6683
50,56,0.672
50,57,0.6741
50,58,0.6749
50,59,0.6739
50,60,0.6779
50,61,0.6767
50,62,0.6833
50,63,0.6836
50,64,0.6818
50,65,0.6848
50,66,0.6855
50,67,0.6897
50,68,0.6877
50,69,0.6931
50,70,0.6923
50,71,0.6953
50,72,0.696
50,73,0.6969
50,74,0.6986
50,75,0.6966
50,76,0.6985
50,77,0.6999
50,78,0.701
50,79,0.7022
50,80,0.7016
50,81,0.703
50,82,0.7038
50,83,0.705
50,84,0.7092
50,85,0.7066
50,86,0.7078
50,87,0.7084
50,88,0.7087
50,89,0.7126
50,90,0.71
50,91,0.7121
50,92,0.7139
50,93,0.7141
50,94,0.7197
50,95,0.7157
50,96,0.7141
50,97,0.7188
50,98,0.72
50,99,0.7195
50,100,0.7197
51,1,0.1768
51,2,0.2786
51,3,0.3229
51,4,0.3469
51,5,0.3767
51,6,0.4063
51,7,0.4274
51,8,0.444
51,9,0.4639
51,10,0.4766
51,11,0.4877
51,12,0.4971
51,13,0.5113
51,14,0.5119
51,15,0.5209
51,16,0.528
51,17,0.5303
51,18,0.5393
51,19,0.5426
51,20,0.5513
